英文,繁中
,美國國家再生能源實驗室
NREL,
Nature,
,台達電
,鄭平
,劉亮甫
,中經院
,連賢明
,陳馨蕙
,白宗城
KC-46,
Kevin Stamey,
Pegasus,
MCAS,
Remote Vision System,
RVS,
USAF,
Christopher Okula,
NVIDIA,
Micron,
,聯電
,日月光投控
Alex Rogers,
,彭博社
SK 海力士,
HBM,
Joe Biden,
Cadence,
,長鑫存儲
The Insider,
,俄羅斯
,台灣
,矽晶圓
,微晶片
,戰鬥機
,飛彈
,波長
,奈米
,光罩
Mikron,
Denis Shamiryan,
Rusnano,
Crocus NanoElectronics,
MRAM,
Epiel,
OOO Hevel,
,中國
,太陽能電池板
,佰皇
Pai Haung Technology,
,台灣合晶科技
Wafer Works,
,鮑永建
,經濟部國貿署
,日本央行
,日圓
,日經 225 指數
,富達國際
,劉培乾
Akidai,
,平成時代大米騷亂
,新潟縣
GSP,
Jin Kemoole,
CC BY 2.0,
,北九州市
ASE Japan,
,熊本廠
,矽島
,吳田玉
,馬來西亞
,美國加州
,環旭
,三井不動產
,台灣陽明交通大學
Q18量子預言,
MODEL C,
AR 導航,
,自動駕駛
,鴻海研究院
ChatGPT Plus,
GPT-4o,
Scarlett Johansson,
Sky,
,歐洲行為準則
CNDCP,
Amazon,
Biden,
,台灣 AI 發展與治理
,亞洲矽谷
AI基礎建設,
AI科技普及化,
AI風險評估體系,
AI法規,
,俄軍
,俄國
GPS,
,范斯
,美國
,煉油廠
,阿里巴巴
,蔡崇信
,馬雲
,耶魯大學
NBA,
,布魯克林籃網隊
BSE Global,
,科氏集團
,藍池資本
Blue Pool Capital,
Harborside,
Lazada,
Walmart,
TikTok,
,蝦皮
Daraz,
,菜鳥
,貝克漢
,歐洲盃
,速賣通
,天貓
,阿里雲
,三星電子
,晶圓代工
,台積電美國亞利桑那州晶圓21廠
Yahoo,
Snap,
Snapchat,
,字節跳動
Pinterest,
Sakura Internet,
H100 GPU,
,高火力
MDB Capital,
Lou Basenese,
FWDBONDS,
Chris Rupkey,
CBOE,
VIX,
Moderna,
Eli Lilly,
,Zepbound
eMarketer,
Jasmine Enberg,
Mobileye,
,福斯
CPCA,
EyeQ,
SuperVision,
Nissan,
Honda,
Ultium,
Prologue,
Sony,
Afeela,
SDV,
Nissan Ariya,
Tier1,
Mitsubishi,
,雪鐵龍
,福特
,現代汽車
Coinbase,
,比特幣
,以太幣
Politico,
Run:ai,
TechCrunch,
The Lancet,
,阿茲海默症
,百健
Lecanemab,
,禮來
Donanemab,
Pixabay,
Firmina,
UTE,
Microchip Technology Incorporated,
HubSpot,
Wiz,
Assaf Rappaport,
Constellation Research,
Chirag Mehta,
Matthew Eastwood,
CrowdStrike,
Ed Bastian,
Tim CC BY 2.0,
Matsui Securities,
Monex Securities Inc.,
Toshiyuki Kanayama,
,中芯國際
WCCFtech,
JADA,
JMVA,
,大發工業
,本田
,日產汽車
Facet,
Tom Graff,
DoubleLine Capital,
Jeffrey Gundlach,
,芝加哥商業交易所
CME,
FedWatch,
,紐約債市
Federalreserve,
Intel Corp.,
,格爾辛格
Moor Insights & Strategy,
Patrick Moorhead,
Tom's Hardware,
Wedbush Securities,
Matt Bryson,
Market Domination Overtime,
,聯發科
,威旭資訊
,石毓璟
C++,
FPGA,
Python,
R,
,愛酷智能科技
,林庭箴
MarTech,
,台大
,孔令傑
PMBA,
WWDC,
Apple Intelligence,
,國際半導體產業協會
SEMI,
,環球晶
,台勝科
,合晶
CoWoS,
,極端氣候
,挪威
,斯瓦爾巴群島
,美國史密森尼國家動物園
Smithsonian’s National Zoo and Conservation Biology Institute,
,加州大學聖克魯斯分校
,生物科學
LG顯示,
LG Display,
TCL,
,華星光電
BusinessKorea,
Samsung Display,
,京東方
,高齡健康產業博覽會
,仁寶
,宏碁
,長佳智能
,華碩
,中華電信
,遠傳電信
,中保科
ASUS HealthHub,
,日勝生
,樂陶居
,橘青春
,中保科技
ION Storage Systems,
ISS,
Saint-Gobain,
KLA,
,美國國防部
ARPA-E,
QuantumScape,
Temu,
Shein,
Brian Olsavsky,
Amazon Web Services,
AWS,
A117uUD,
ATLAS,
C/1980 E1,
,土星
,木星
TCL科技集團,
TrendForce,
LGD,
,惠科光電
,夏普
Nvidia Corp.,
Therese Poletti,
Walgreens Boots Alliance Inc.,
S&P Dow Jones Indices,
Tirias Research,
Kevin Krewell,
CPU,
Gaudi 3,
MI300,
,聯合健康保險
UnitedHealth,
,晶相光
,宏捷科
Donald Trump,
RealClearPolitics,
,賓州
Nashville,
Bitcoin 2024,
CoinGecko,
Seeking Alpha,
Coin Metrics,
,康寧
Wendell P. Weeks,
,流明科技
Lumen Technologies,
Springboard,
RE100,
,中華大學
,清華大學
Intel 10A,
Intel 14A,
Intel 4,
intel 3,
IFS Direct Connect,
PTT,
High NA EUV,
,南茂
,南科
TAC,
,嘉義廠
Android,
BleepingComputer,
Clafy,
Google Play,
AVG AntiVirus & Security,
Cleafy,
VNC,
,天璣 9400
Snapdragon 8 Gen 4,
ARM,
BlackHawk,
vivo,
,集邦科技
EVOX,
Flexsystem,
,博弘雲端
IKEA,
,雀巢
,城市車旅
,迴轉壽司
FlexSystem,
ERP,
,明泰
,台股
,中國信託投信
GIM,
,保德信
S&P 500,
,柯鴻旼
,騰訊
,微信
,抖音
,歐盟委員會
,亞洲物聯網聯盟
,李國憲
,清大
,成大
,政大
,中央大學
Generative AI,
,陽明交大
,台科大
,北科大
Chrome,
Gemini,
Google Lens,
Tab Compare,
PNAS Nexus,
DEET,
,新唐
,蘇源茂
MA35D0,
ISO 24089,
TOF sensor,
John LoSecco,
PPTA2,
NANOGrav,
,倉和
UCLA,
Advanced Photonics,
Aydogan Ozcan,
Trader Joe's,
Everything But the Bagel,
Papaver Somniferum L,
Gary Reisfield,
Gilbert Cisneros,
USADA,
Cheyava Falls,
SHERLOC,
Mastcam-Z,
PIXL,
Lam Research,
Lam Cyro 3.0,
Sesha Varadarajan,
Kioxia,
Fab 2,
,威騰
Jun Young-hyun,
Intel,
MPS,
PPT,
VIX 指數,
Cboe,
Chicago Board Options Exchange Volatility Index,
iPadOS,
tvOS,
macOS Sequoia,
watchOS,
Tim Cook,
Family Link,
Fitbit Ace LTE,
Samsung Galaxy,
School Time,
Google 部落格,
Emma Higham,
Deepfake,
Federico Larroca,
Unwire HK,
,華邦電
DDR4,
LPDDR4,
NOR Flash,
SLC NAND Flash,
,Z 世代
,台灣大學
,陽明交通大學
,彭冠宇
STEM,
ESG,
,今周刊
,台新金
,新光金
,中信金
,國泰金控
,蔡鎮宇
,京城銀
,安泰銀
,財訊
Google搜尋趨勢,
,貝恩管顧
Bain & Company,
,2024年上半年併購報告
,倫敦證交所
Global Investment Banking Quarterly Review,
BPEA八號私募股權基金,
BPEA Private Equity Fund VIII,
Perficient,
,資誠會計師事務所
,2024台灣併購白皮書
,普華國際財務顧問公司
,周容羽
,東京證券交易所
,安侯建業
,張維夫
,麥當勞
Business Insider,
Chris Kempczinski,
US index of food consumed away from home,
LendingTree,
Joe Erlinger,
Thales Alenia Space,
,華爾街日報
ASCEND,
IEA,
Loft Orbital,
,國立中央大學
,張貴雲
,遠見
Hebbia,
a16z,
Peter Thiel,
MacRumors,
,郭明錤
Ismail Haniyeh,
,德黑蘭
Masoud Pezeshkian,
Ali Khamenei,
,摩薩德
Mossad,
,林肯號航母戰鬥群
,戈蘭高地
F-15E,
RAF Lakenheath,
Seymour Johnson AFB,
Staff Sgt. Sean Carnes,
,美國陸軍
,貝爾德士隆
,未來長程突擊機
,黑鷹直升機
,未來直升機
Future Vertical Lift,
FVL,
Future Long-Range Assualt Aircraft,
FLRAA,
,貝爾德士隆公司
Bell Textron,
V-22 魚鷹式,
Osprey,
V-280 英勇式,
Valor,
,賽考斯基
Sikorsky,
SB-1 反抗者 X,
Defiant X,
,布希
Doug Bush,
Danazar,
"Wikimedia Commons

荷爾蒙調節療法",
Hormone modulating therapy,
JAMA Network Open,
,雌激素受體陽性
estrogen receptor positive,
,匹茲堡大學
Francesmary Modugno,
,南卡羅萊納大學
Chao Cai,
,美國聯邦資料庫
"Unsplash

墨子",
,克卜勒
,針孔成像
,暗箱
,行星運動定律
,太陽黑子
,名古屋大學
,早川尚志
,史波勒定律
,蒙德極小期
,台北天文館
"NASA

輝達",
Blackwell 晶片,
,"台積電

中華精測"
,智慧型手機
,超高速運算
HPC,
,資策會產業情報研究所
MIC,
AIoT,
BKS 系列,
,"美系客戶

萬達寵物"
IPO,
,李俊廣
,羅至玄
,克緹集團
,陳樂維
,寵物公園
"PetPark

迅銷公司",
,優衣庫
UNIQLO,
,潘寧
,ZARA
Inditex,
,"齊藤孝浩

月經貧窮"
,《華爾街日報》
Harvard Public Health,
,尼爾森IQ
Nielsen IQ,
U by Kotex,
,楊百翰大學
Brigham Young University,
DW,
Sierra Club,
"University of Notre Dame

輝達",
,美超微
SMCI,
,雲豹能源
,泓德能源
,森崴能源
GB200伺服器,
,翔耀實業
,是方電訊
,數位無限
,無敵科技
VMFIVE,
AICC,
AICA,
,天能綠電
,星星電力
,富威電力
,博仲法律事務所
,遠見雜誌
,金管會
,財金資訊
AI TAIWAN 2024,
TWQR,
,街口支付
,一卡通 MONEY
,悠遊付
,全支付
,全盈+PAY
,范庭甄
,悠遊卡
,李志仁
,台北捷運
,高雄捷運
,韓國
,經理人月刊
,茱蒂·丹契
,奧卡菲娜
,基根-麥可·凱
SAG-AFTRA,
,史嘉蕾·喬韓森
Juniper,
Breeze,
Cove,
Ember,
,力成
,矽品
SoC,
InFO,
FOWLP,
FOPLP,
NXP,
STMicroelectronics,
,新台幣
,統一超商
,桃園航空城
BOO,
,全家
,富邦人壽
,大園航空城
,新竹縣湖口鄉
,富邦集團
,富邦媒體
,鉅亨買基金
ISM,
PMI,
,美國費城半導體指數
,鉅亨買基金總經理
,張榮仁
Galaxy Watch Ultra,
Galaxy Buds 3 Pro,
Apple Watch Ultra,
AirPods Pro 2,
,李在鎔
Wear OS,
Aju News,
,澤連斯基
F-16,
,洛克希德馬丁
,法新社
,波克夏海瑟威
,巴菲特
,美銀
,泰德·韋施勒
,托德·庫姆斯
BofA,
,標普 500
Fortune Live Media,
,加權指數
,費半指數
,新秀麗
Samsonite,
,杜塔
Subrata Dutta,
,江錫毅
,林福平
,林淑娟
,黃志聖
,小紅書
Crown,
China Rocket,
,航天科技集團
SIA,
Northrop Grumman,
SpaceX,
,美國國家偵查局
,三菱重工
,愛國者飛彈
Nicola Rooney,
,布里斯托大學
University of Bristol,
Scientific Reports,
TradingView,
Perplexity,
,北京
,大眾
BMW,
,寶馬
,賓士
,奔馳
,豐田
,奇瑞汽車
Tiggo,
,吉利
,長安
,理想汽車
,問界
SU7,
,雲端事業AWS
VIX指數,
,芝加哥選擇權交易所
New York State Common Retirement Fund,
,達美航空
Delta Air Lines,
David Boies,
,騰訊音樂娛樂集團
,台積電ADR
Villere & Co.,
Janus Henderson Investors,
Lara Castleton,
CoLine,
,三竹資訊
Nintendo,
,薩爾達傳說 王國之淚
,大立光
,玉晶光
M1,
Gen-AI,
A18,
,景碩
,南電
,欣興
,國巨
,臻鼎-KY
,華通
,穩懋
A19,
,5G
Samsung Electronics,
,韓聯社
Rishi Sunak,
,愛丁堡大學
DSIT,
Rachel Reeves,
Keir Starmer,
ERIC,
Russell Napier,
Solid Ground,
Jeff Bezos,
Barron’s,
,10b5-1
Forbes,
Elon Musk,
J.D. Vance,
EV,
Made by Google,
Uber,
Uber Eats,
Foodpanda,
,蔣念祖
,王立達
,王偉霖
,鄭嘉逸
,錢櫃
,好樂迪
,統一
,維力
,凱薩琳伍德
Cathie Wood,
,莫德納
Benzinga,
ARK,
ARKK,
ARKF,
Roblox,
Caroline Wood,
CC BY-SA 4.0,
Wikimedia Commons,
,日經225指數
,東證股價指數
TOPIX,
,熊市
,熔斷機制
Circuit Breaker,
GB200,
Pixel 8,
Pixel 8 Pro,
Pixel 9 Pro,
Pixel 9 Pro XL,
Pixel 9 Pro Fold,
,9to5Google
Galaxy S24 Ultra,
Samsung,
Google Store,
,野村證券
Charlie McElligott,
ISM製造業指數,
,薩姆規則
Sahm rule,
Claudia Sahm,
Interactive Brokers,
José Torres,
CNN恐懼貪婪指數,
CNN Fear & Greed Index,
,高效能運算
,崇越科技
,熊本
,德州
,達拉斯
M2 iPad Pro,
AppleLeaker,
Galaxy AI,
Apple Watch SE,
Apple Watch Series 9,
,埃克森美孚
Exxon Mobil,
,先鋒自然資源
Pioneer Natural Resources,
,蓋亞那
Guyana,
,二疊紀盆地
Permian Basin,
Investopedia,
NYMEX,
ICE Futures Europe,
,淡江大學
Polaris,
RNX,
,淡江一型
Jessie,
,減振環
,磁場計模組
,屏東旭海
HTTP-3A S2,
Asfaloth,
SHSR-Aero1,
Near-Eye Display,
OLEDoS,
LCD,
VR,
MR,
AR,
,視涯
CMOS,
,信邦
,順達
,創意
,智邦
,泰鼎-KY
Vivo X200,
ARM BlackHawk,
Snapdragon 8 Gen 3,
,蔡力行.
