,名詞,數量
184, GM,1
185, 通用,1
186, Microsoft Corp.,2
187, OpenAI,4
188, Amazon.com,1
189, Google,13
190, SearchGPT,2
191, Bing,1
192, Windows,1
193, Copilot,1
194, The Information,2
195, Apple Inc.,1
196, iOS,2
197, GPT,1
198, Siri,1
199, Sam Altman,1
200, TradingEconomics,1
201, Applied Materials Inc,1
202, Chips Act,1
203, Sunnyvale,1
204, Kamala Harris,2
205, Gary Dickerson,1
206, Boeing,1
207, FAA,1
208, Rockwell Collins,1
209, Dave Calhoun,1
210, Kelly Ortberg,1
211, Flickr,4
212, The Lamb Family,1
213, Nic Fink,1
214, Adam Peaty,1
215, Nicolo Martinenghi,1
216, Michael Norment,1
217, Melanie Margalis Fink,1
218, Finknic IG,1
219, Western Digital,1
220, WD,1
221, HDD,1
222, SSD,2
223, Yahoo Finance,7
224,光陽機車,1
225, Ionex,1
226, MiG9,1
227, RevoNex,1
228, 米蘭車展,1
229, 台北,1
230, 柯勝峯,1
231, 哈雷機車,1
232, LiveWire,1
233, 米蘭,1
234, 工藝,1
235, Advanced Micro Devices,1
236, D.A. Davidson,1
237, 費城半導體指數,2
238, Intelligent Cloud,1
239, XTB,1
240, GRB 221009A,1
241, NASA,4
242, 費米伽瑪射線太空望遠鏡,1
243, Canis Major,1
244, BOAT,1
245, 尼爾·格雷爾斯雨燕天文台,1
246, 拉德堡德大學,1
247, 韋伯太空望遠鏡,1
248, Science,1
249, Pixel 9,2
250, Tensor G4,2
251, Tensor SoC,1
252, ARMv9.2,1
253, Cortex-A520,1
254, Cortex-A720,1
255, Cortex-X4,1
256, Geekbench,1
257, Android Authority,3
258, Exynos Modem 5400,1
259, Exynos Modem 5300,1
260, Mali-G715 GPU,1
261, Tape Out,1
262, 大華銀,1
263, ETF,3
264, ICE,1
265, BBB,1
266, 特許通訊,1
267, 甲骨文,1
268, 高盛集團,1
269, 波音,4
270, 美洲移動,1
271, 花旗集團,1
272, 雷神科技,1
273, 惠普電腦,1
274, 通用汽車,1
275, 郭修誠,1
276, 野村投信,1
277, 張繼文,1
278, 台灣高股息指數,1
279, 台灣趨勢動能高股息指數,1
280, 林怡君,1
281, SEGA,1
282, 瑪利歐與音速小子,1
283, AT,1
284, 奧林匹克運動會,1
285, Eurogamer,1
286, NFT,1
287, Power Rangers: Battle for the Grid,1
288, nWay,1
289, Olympics Go! Paris 2024,1
290, Olympic Virtual Series,1
291, Olympic Esports Games,1
292, Mark Zuckerberg,1
293, Alphabet,2
294, Susan Li,1
295, Evercore ISI,1
296, Mark Mahaney,1
297, MoneyDJ,2
298, 日本銀行,1
299, BOJ,1
300, Jerome Powell,1
301, CoinDesk,3
302, 貝萊德,2
303, 鴻海,4
304, Showroom,2
305, 黃仁勳,1
306, AI,9
307, 豐田汽車,2
308, Toyota,3
309, Lexus,1
310, EV,2
311, HV,1
312, PHV,1
313, FCV,1
314, Counterpoint Research,1
315, 三星,4
316, 小米,2
317, Huawei,1
318, 美國專利商標局,1
319, Apple Watch,1
320, Mac,1
321, pixabay,2
322,元大台灣,1
323, 元大投信,1
324, 台股,1
325, Vanguard S&P 500 ETF,1
326, ProShares,1
327, 納斯達克指數,1
328, Bloomberg,1
329, IFA 2024,1
330, Snapdragon X Plus,1
331, Snapdragon Summit 2024,1
332, i-Ride TAIPEI,1
333, 進擊的巨人,1
334, 講談社,1
335, 自旋控制 LED,1
336, 美國國家再生能源實驗室,1
337, III-V 族半導體,1
338, 手性鹵化物鈣鈦礦,1
339, Nature,1
340, 台達電,2
341, KC-46,1
342, 聯電,1
343, 日月光投控,1
344, 華為,4
345, 彭博社,4
346, SK 海力士,2
347, NVIDIA,2
348, Joe Biden,1
349, 長鑫存儲,1
350,The Insider,1
351, 俄羅斯,1
352, 矽晶圓,1
353, 微晶片,1
354, 戰鬥機,1
355, 飛彈,1
356, 波長,1
357, 奈米,1
358, Mikron,1
359, Denis Shamiryan,1
360, Rusnano,1
361, Crocus NanoElectronics,1
362, MRAM,1
363, Epiel,1
364, OOO Hevel,1
365, 中國,2
366, 佰皇,1
367, Pai Haung Technology,1
368, 台灣合晶科技,1
369, Wafer Works,1
370, 鮑永建,1
371, 經濟部國貿署,1
372, The Insider,1
373, 日本央行,2
374, 日圓,1
375, 日經 225 指數,1
376, 富達國際,1
377, 劉培乾,1
378, 日本,1
379, GSP,1
380, Akidai,1
381, 平成時代,1
382, 1993,1
383, 40,1
384, 100,1
385, 1999,1
386, 47,1
387, 29,1
388, 2040,1
389, 4.014,1
390, Jin Kemoole,1
391, CC BY 2.0,2
392, 日月光,2
393, ASE Japan,1
394, 北九州市,1
395, Hibikinokita,1
396, 熊本,1
397, 矽島,1
398, 吳田玉,1
399, 墨西哥,1
400, 馬來西亞,1
401, 美國,3
402, 三井不動產,1
403, 台灣陽明交通大學,1
404, 巫俊毅,1
405, Q18量子預言,1
406, MODEL C,1
407, AR,2
408, ChatGPT Plus,1
409, GPT-4o,1
410, Scarlett Johansson,1
411, Sky,1
412, 2024,1
413, Amazon,2
414, Biden,1
415, 亞洲矽谷,1
416, 彰化,1
417, GDP,1
418, 49億美元,1
419, 3.2兆元新台幣,1
420, 13%,1
421,烏克蘭,1
422, 俄軍,1
423, 無人機,1
424, GPS,1
425, 歐美,1
426, 范斯,1
427, 煉油廠,2
428, 輸油設施,1
429, 阿里巴巴,1
430, 蔡崇信,1
431, 耶魯大學,1
432, NBA,2
433, 布魯克林籃網隊,1
434, BSE Global,1
435, 科氏集團,1
436, 藍池資本,1
437, Blue Pool Capital,1
438, Harborside,1
439, 瑞銀,1
440, 2024 全球家族辦公室報告,1
441, Lazada,1
442, Walmart,1
443, 阿里雲智能,1
444, 拼多多,1
445, TikTok,2
446, 速賣通,1
447, 菜鳥,1
448, 貝克漢,1
449, 歐洲盃,1
450, Daraz,1
451, Laraza,1
452, 蝦皮,1
453, ECDB,1
454, 三星電子,1
455, 經濟日報,1
456, Sakura Internet,1
457, H100 GPU,1
458, Snap,1
459, Snapchat,1
460, StreetAccount,2
461, Pinterest,2
462,英特爾,3
463, Mobileye,1
464, 福斯,2
465, Porsche,1
466, EyeQ,1
467, SuperVision,1
468, Nissan,1
469, Honda,1
470, 本田汽車,1
471, Ultium,1
472, Prologue,1
473, Sony,2
474, Afeela,1
475, Software Defined Vehicle,1
476, SDV,1
477, Nissan Ariya,1
478, Tier1,1
479, 三菱汽車,1
480, 福特,1
481, 現代汽車,1
482, 雪鐵龍,1
483, Coinbase,2
484, Politico,1
485, Run:ai,1
486, TechCrunch,2
487, The Lancet,1
488, 百健,1
489, Biogen,1
490, Lecanemab,1
491, 禮來,1
492, Eli Lilly,1
493, Donanemab,1
494, Pixabay,2
495, Firmina,1
496, UTE,1
497, Microchip Technology Incorporated,1
498, Ganesh Moorthy,1
499, HubSpot,1
500, Wiz,1
501, Assaf Rappaport,1
502, Constellation Research,1
503, Chirag Mehta,1
504, Matthew Eastwood,1
505, CrowdStrike,2
506, Tim,1
507, 法新社,1
508, 東京松井證券公司,1
509, Matsui Securities,1
510, Monex Securities Inc.,1
511, 金山敏之,1
512, Toshiyuki Kanayama,1
513, 中國廣州發佈,1
514, WCCFtech,1
515, 中芯國際,1
516, JADA,1
517, JMVA,1
518, 大發工業,1
519, Daihatsu,1
520, 本田,2
521, 日產汽車,1
522,美國,1
523, 聯準會,1
524, MarketWatch,2
525, Facet,1
526, Tom Graff,1
527, DoubleLine Capital,1
528, Jeffrey Gundlach,1
529, 芝加哥商業交易所,1
530, CME,2
531, FedWatch,2
532, Federalreserve,1
533, Intel Corp.,1
534, Moor Insights & Strategy,1
535, Patrick Moorhead,1
536, Tom's Hardware,1
537, Wedbush Securities,1
538, Matt Bryson,1
539, 聯發科,4
540, 威旭資訊,1
541, 石毓璟,1
542, 愛酷智能科技,1
543, 林庭箴,1
544, 台大,1
545, 孔令傑,1
546, Apple Intelligence,4
547, 庫克,1
548, SEMI,1
549, 環球晶,1
550, 台勝科,1
551, 合晶,1
552, ION Storage Systems,2
553, ISS,1
554, Saint-Gobain,1
555, KLA,1
556, ARPA-E,1
557, QuantumScape,1
558, 亞馬遜,3
559, Temu,1
560, Shein,1
561, Amazon Web Services,1
562, AWS,2
563, Brian Olsavsky,1
564, ATLAS,1
565, A117uUD,1
566, C/1980 E1,1
567, 土星,1
568, 木星,1
569, TCL,1
570, LG Display,1
571, BusinessKorea,1
572, 華星光電,1
573, Samsung Display,1
574, 京東方,2
575, 仁寶,1
576, 宏碁,2
577, 長佳智能,1
578, 華碩,1
579, 中華電信,1
580, 遠傳電信,1
581, 中保科,1
582, 中保科技,1
583, ION,1
584, Refinitiv,2
585, TrendForce,4
586, LG顯示,1
587, TCL科技,1
588, 惠科光電,1
589, 夏普,1
590, Walgreens Boots Alliance,1
591, S&P Dow Jones Indices,1
592, Tirias Research,1
593, Kevin Krewell,1
594, CPU,1
595, Gaudi 3,1
596, MI300,1
597, 聯合健康保險,1
598, UnitedHealth,1
599, 標準普爾500指數,1
600, 晶相光,1
601, 宏捷科,1
602, 比特幣,2
603, Donald Trump,2
604, RealClearPolitics,1
605, Nashville,1
606, Bitcoin 2024,1
607, CoinGecko,1
608, Seeking Alpha,1
609, Coin Metrics,1
610, 康寧,1
611, Wendell P. Weeks,1
612, 流明科技,1
613, Lumen Technologies,1
614, Springboard,1
615, RE100,1
616, 台電,1
617, CoWoS,3
618, 南茂,1
619, Android,2
620, BleepingComputer,1
621, Clafy,1
622, AVG AntiVirus & Security,1
623, Cleafy,1
624, VNC,1
625, Google Play,1
626, BingoMod,1
627, 天璣 9400,2
628, Snapdragon 8 Gen 4,2
629, ARM,1
630, BlackHawk,1
631, vivo,1
632, 集邦科技,1
633, EVOX,1
634, Flexsystem,1
635, 博弘雲端,1
636, IKEA,1
637, 雀巢,1
638, 城市車旅,1
639, 迴轉壽司,1
640, FlexSystem,1
641, ERP,1
642, 明泰,1
643, 中國信託投信,1
644, GIM 保德信,1
645, S&P 500,1
646, Unwire HK,2
647, Gage Skidmore,1
648,蘋果,1
649, 騰訊,1
650, 字節跳動,1
651, 微信,1
652, 抖音,2
653, App Store,1
654, 歐盟委員會,1
655, Chrome,1
656, Google Lens,1
657, Tab Compare,1
658, Gemini,1
659, PNAS Nexus,1
660, DEET,1
661, 新唐,1
662, MA35D0,1
663, BM-IC,1
664, ISO 24089,1
665, TOF sensor,1
666, 脈衝星,1
667, John LoSecco,1
668, PPTA2,1
669, NANOGrav,1
670, 倉和,1
671, 加州大學洛杉磯分校,1
672, UCLA,1
673, 3D 定量相位成像,1
674, Advanced Photonics,1
675, Aydogan Ozcan,1
676, Trader Joe′s,1
677, Everything But the Bagel,1
678, Papaver Somniferum,1
679, Gary Reisfield,1
680, USADA,1
681, 台灣關務署,1
682, 地球圖輯隊,1
683, 毅力號,1
684, Cheyava Falls,1
685, SHERLOC,1
686, PIXL,1
687, 台北天文館,2
688, 科林研發,1
689, Lam Research,1
690, Lam Cyro 3.0,1
691, Sesha Varadarajan,1
692, 3D NAND Flash,1
693, 鎧俠,1
694, Kioxia,1
695, Fab 2,1
696, 威騰,1
697, Jun Young-hyun,1
698, HBM3,1
699, HBM3E,1
700, Intel,1
701, PPT,1
702, MPS,1
703, VIX,1
704, Cboe,2
705, Chicago Board Options Exchange,1
706, YouTube,1
707, iPadOS,2
708, tvOS,1
709, macOS Sequoia,1
710, watchOS,2
711, Tim Cook,2
712, Family Link,1
713, Fitbit Ace LTE,1
714, Samsung Galaxy,1
715, School Time,1
716, Google 部落格,1
717, 慧榮科技,1
718, eMMC,1
719, UFS,1
720, NAND,1
721, 華邦電,1
722, DDR4,1
723, LPDDR4,1
724, NOR Flash,1
725, SLC NAND Flash,1
726, DRAM,1
727, Z 世代,1
728, 今周刊,3
729, 統一,1
730, 華航,1
731, 長榮航,1
732, 中鋼,1
733, 台灣大學,1
734, 清華大學,1
735, 陽明交通大學,1
736, 彭冠宇,1
737, STEM,1
738, ESG,1
739, UberEats,1
740, LINE,1
741, WhatsApp,1
742, Messenger,1
743, Spotify,1
744, Momo,1
745, 高鐵,1
746, Abington Cole + Ellery,1
747, Deepfake,1
748, Emma Higham,1
749,黃仁勳,1
750, 台新金,1
751, 新光金,1
752, 中信金,1
753, 國泰金,1
754, 京城銀,1
755, 安泰銀,1
756, Google搜尋趨勢,1
757, 貝恩管顧,1
758, Bain & Company,1
759, 倫敦證交所,1
760, Global Investment Banking Quarterly Review,1
761, BPEA八號私募股權基金,1
762, BPEA Private Equity Fund VIII,1
763, Perficient,1
764, 東京證券交易所,1
765, 財訊,2
766, 麥當勞,1
767, Business Insider,1
768, Morgan Stanley,1
769, Chris Kempczinski,1
770, US index of food consumed away from home,1
771, LendingTree,1
772, Joe Erlinger,1
773, Thales Alenia Space,1
774, ASCEND,1
775, IEA,1
776, Loft Orbital,1
777, 遠見,1
778, Hebbia,1
779, a16z,1
780, Peter Thiel,1
781, Glean Technologies Inc.,1
782, Centerview Partners,1
783, Charlesbank,1
784, Fenwick,1
785, George Sivulka,1
786, 史丹佛大學,1
787, FirstMark Capital,1
788, Matt Turck,1
789, Index Ventures,1
790, Google Ventures,1
791, 創業小聚,1
792, 精測,1
793, 南電,2
794, 郭明錤,2
795, MacRumors,2
796, Slim,1
797, 哈瑪斯,1
798, 哈尼亞,1
799, 伊朗,1
800, 以色列,1
801, 林肯號航母戰鬥群,1
802, 德黑蘭,1
803, 裴澤斯基安,1
804, 哈梅尼,1
805, 摩薩德,1
806, 戈蘭高地,1
807, 黎巴嫩真主黨,1
808, 紅海,1
809, 地中海,1
810, 葉門胡賽組織,1
811, 敘利亞,1
812, 卡達,1
813, 巴林,1
814, 約旦,1
815, 阿聯酋,1
816, 科威特,1
817, 沙烏地阿拉伯,1
818, RAF Lakenheath,1
819, Seymour Johnson AFB,1
820, F-15E,1
821, 伯克級神盾驅逐艦,1
822,貝爾德士隆,1
823, 黑鷹直升機,1
824, 未來直升機,1
825, Future Vertical Lift,1
826, FVL,1
827, 未來長程突擊機,1
828, Future Long-Range Assualt Aircraft,1
829, FLRAA,1
830, V-22 魚鷹式,1
831, Osprey,1
832, V-280 英勇式,1
833, Valor,1
834, 賽考斯基,1
835, Sikorsky,1
836, SB-1 反抗者 X,1
837, Defiant X,1
838, Doug Bush,1
839, 布希,1
840, JAMA Network Open,1
841, Francesmary Modugno,1
842, Chao Cai,1
843, 匹茲堡大學,1
844, 南卡羅萊納大學,1
845, 中華精測,1
846, 資策會產業情報研究所,1
847, MIC,1
848, AIoT,1
849, BKS 系列,1
850, 萬達寵物,1
851, 李俊廣,1
852, 羅至玄,1
853, 克緹集團,1
854, 陳樂維,1
855, 寵物公園PetPark,1
856, 迅銷,1
857, 優衣庫,1
858, UNIQLO,1
859, ZARA,1
860, Inditex,1
861, 齊藤孝浩,1
862, 商業周刊,2
863, 美超微,1
864, SMCI,1
865, 雲豹能源,1
866, 泓德能源,1
867, 森崴能源,1
868, 翔耀,1
869, 是方,1
870, 無敵科技,1
871, VMFIVE,1
872, AICA,1
873, AI Computing Alliance,1
874, 天能綠電,1
875, 星星電力,1
876, 富威電力,1
877, 博仲法律事務所,1
878, 遠見雜誌,1
879,英伟达,1
880, 力成,1
881, 矽品,1
882, FOPLP,1
883, InFO,1
884, FOWLP,1
885, 恩智浦,1
886, NXP,1
887, 意法半導體,1
888, STMicroelectronics,1
889, 鉅亨買基金,1
890, ISM,1
891, PMI,1
892, Galaxy Watch Ultra,1
893, Galaxy Buds 3 Pro,1
894, Apple Watch Ultra,1
895, AirPods Pro 2,1
896, Wear OS,1
897, OLED,2
898, F-16,1
899, 洛克希德馬丁,2
900, 波克夏海瑟威,1
901, 巴菲特,1
902, 美銀,1
903, BofA,1
904, 標普 500,1
905, Fortune Live Media,1
906,台股,1
907, 費半指數,1
908, 新秀麗,1
909, Samsonite,1
910, 杜塔,1
911, Subrata Dutta,1
912, 皇冠集團,1
913, 江錫毅,1
914, 小紅書,1
915, 林福平,1
916, 林淑娟,1
917, 黃志聖,1
918, Samsonite Taiwan,1
919, 航天科技集團,1
920, China Rocket,1
921, SIA,1
922, Northrop Grumman,1
923, SpaceX,1
924, 美國國家偵查局,1
925, T/R組件,1
926, 三菱重工,1
927, 愛國者飛彈,1
928, Nicola Rooney,1
929, University of Bristol,1
930, Scientific Reports,1
931, TradingView,1
932, Perplexity,1
933,中國,1
934, 北京,1
935, 大眾,1
936, BMW,1
937, 寶馬,1
938, 賓士,1
939, 奔馳,1
940, 豐田,1
941, 奇瑞汽車,1
942, Tiggo,1
943, 吉利,1
944, 長安,1
945, 理想汽車,1
946, 問界,1
947, SU7,1
948, 布魯塞爾工廠,1
949, 土耳其,1
950, New York State Common Retirement Fund,1
951, 達美航空,1
952, Delta Air Lines,1
953, David Boies,1
954, 騰訊音樂娛樂集團,1
955, VIX指數,2
956, 芝加哥選擇權交易所,1
957, Chicago Board Options Exchange Volatility Index,1
958, 三竹資訊,1
959, CoLine,1
960,任天堂,1
961, Nintendo,1
962, 薩爾達傳說 王國之淚,1
963, 大立光,1
964, 玉晶光,1
965, Gen-AI,1
966, iPhone 16,1
967, 工業富聯,1
968, 景碩,1
969, 欣興,1
970, 國巨,1
971, 臻鼎-KY,1
972, 華通,1
973, 穩懋,1
974, 天風國際證券,1
975, A18晶片,1
976, A19處理器,1
977, 5G通訊晶片,1
978, 鈦鋁合金,1
979, Samsung Electronics,1
980, 李在鎔,1
981, 韓聯社,1
982, BBC,1
983, Rishi Sunak,1
984, 愛丁堡大學,1
985, DSIT,1
986, Rachel Reeves,1
987, Keir Starmer,1
988, ERIC,1
989, Russell Napier,1
990, Solid Ground,1
991, Jeff Bezos,1
992, Barron’s,1
993, 10b5-1,1
994, Forbes,1
995, Elon Musk,1
996, J.D. Vance,1
997, Made by Google,2
998, Uber,1
999, Uber Eats,1
1000, Foodpanda,1
1001, 蔣念祖,1
1002, 王立達,1
1003, 王偉霖,1
1004, 鄭嘉逸,1
1005, 美團,1
1006,凱薩琳伍德,1
1007, Cathie Wood,1
1008, 莫德納,1
1009, Moderna,1
1010, ARK,1
1011, ARKK,1
1012, ARKF,1
1013, 日經225指數,1
1014, 東證股價指數,1
1015, TOPIX,1
1016, 熔斷機制,1
1017, Circuit Breaker,1
1018, GB200,1
1019, 川湖,1
1020, 勤誠,1
1021, 晟銘電,1
1022, 乙盛-KY,1
1023, 迎廣,1
1024, 南俊國際,1
1025, Pixel,1
1026, 9to5Google,1
1027, Galaxy S24 Ultra,1
1028, Google Store,1
1029, 野村證券,1
1030, Charlie McElligott,1
1031, ISM製造業指數,1
1032, 薩姆規則,1
1033, Sahm rule,1
1034, Interactive Brokers,1
1035, José Torres,1
1036, CNN恐懼貪婪指數,1
1037, CNN Fear & Greed Index,1
1038, 崇越科技,1
1039, 潘重良,1
1040, M2 iPad Pro,1
1041, AppleLeaker,1
1042, Galaxy AI,1
1043, Apple Watch SE,1
1044, Apple Watch Series 9,1
1045, 埃克森美孚,1
1046, Exxon Mobil,1
1047, 先鋒自然資源,1
1048, Pioneer Natural Resources,1
1049, 蓋亞那,1
1050, Guyana,1
1051, 二疊紀盆地,1
1052, Permian Basin,1
1053, Investopedia,1
1054, 淡江大學,1
1055, Polaris,1
1056, RNX,1
1057, 袁日揚,1
1058, OLEDoS,1
1059, LCD,1
1060, VR,1
1061, MR,1
1062, 視涯,1
1063, 信邦,1
1064, 順達,1
1065, 創意,1
1066, 智邦,1
1067, 泰鼎-KY,1
1068, Vivo X200,1
1069, ARM BlackHawk,1
1070, Snapdragon 8 Gen 3,1
1071, 蔡力行,1
